,lab,address,pincode,city,state,type,location,,
178,"Sawai Man Singh (SMS) Medical College, Jaipur","SMS Medical College, Jawahar Lal Nehru Marg, Gangawal Park, Adarsh Nagar, Jaipur, Rajasthan 302004",302004,Jaipur,Rajasthan,Government Laboratory,"(26.889859, 75.833433, 0.0)",,
179,"Dr. Sampurnanand Medical College, Jodhpur","Dr. S.N. Medical College, Residency Road, Near Sriram Excellency Hotel, Sector-D, Shastri Nagar, opposite Petrol Pump, Jodhpur, Rajasthan 342003",342003,Jodhpur,Rajasthan,Government Laboratory,"(26.840982, 73.794244, 0.0)",,
180,"Jhalawar Medical College, Jhalawar","Jhalawar Medical College, N.H.-12, Kota Rd, Jhalawar, Rajasthan 326001",326001,Jhalawar,Rajasthan,Government Laboratory,"(24.604091, 76.173985, 0.0)",,
181,"RNT Medical College, Udaipur","RNT Medical College, Court Chowk, City's Prime Health Care Area, Udaipur, Rajasthan 313001",313001,Udaipur,Rajasthan,Government Laboratory,"(24.5392488, 73.7293594, 0.0)",,
182,"S.P. Medical College, Bikaner","S.P. Medical College, PBM Hospital, Bikaner, Rajasthan 334001",334001,Bikaner,Rajasthan,Government Laboratory,"(28.009391899999997, 73.31925513627758, 0.0)",,
183,"All India Institute of Medical Sciences (AIIMS), Jodhpur","All India Institute of Medical Sciences (AIIMS), Basni Industrial Area, MIA 2nd Phase, Basni, Jodhpur, Rajasthan 342005",342005,Jodhpur,Rajasthan,Government Laboratory,"(26.2279871, 73.0210828, 0.0)",,
184,"JLN Medical College, Ajmer","JLN Medical College, Kala Bagh, Ajmer, Rajasthan 305001",305001,Ajmer,Rajasthan,Government Laboratory,"(51.73057104630172, 36.17288110564864, 0.0)",,
185,"Govt. Medical College, Kota","Govt. Medical College, Rangbari Rd, Sector - A, Rangbari, Kota, Rajasthan 324010",324010,Kota,Rajasthan,Government Laboratory,"(25.118431, 75.859704, 0.0)",,
186,"Central Laboratory, Mahatma Gandhi University of Medical Sciences & Technology, Jaipur","Central Laboratory, Mahatma Gandhi University of Medical Sciences & Technology, Ricco Industrial Area, Sitapura, Tonk Road, Jaipur, Rajasthan 302022",302022,Jaipur,Rajasthan,Private Laboratory,"(26.769896799999998, 75.85451245, 0.0)",,
187,"Sir Thutob Namgyal Memorial Hospital (STNM), Gangtok","STNM Hospital, Sungava, Gangtok, Sikkim 737101",737101,Gangtok,Sikkim,Collection Site,"(27.32865548, 88.59819886, 0.0)",,
188,"King Institute of Preventive Medicine and Research, Chennai","King Institute of Preventive Medicine and Research, Chennai",600032,Chennai,Tamil Nadu,Government Laboratory,"(12.982659, 80.1959534, 0.0)",,
189,"Madras Medical College, Chennai, Tamil Nadu","Madras Medical College, Near Park Town Station, Park Town, Chennai, Tamil Nadu 600003",600003,Chennai,Tamil Nadu,Government Laboratory,"(13.0721311175343, 80.2658114772411, 0.0)",,
190,"Government Theni Medical College, Theni","Govt. Theni Medical College, k. villakku, Tamil Nadu 625531",625531,Theni,Tamil Nadu,Government Laboratory,"(10.020432455472939, 77.48849013702767, 0.0)",,
191,"Tirunelveli Medical College, Tirunelveli","Tirunelveli Medical College, 3, High Ground Rd, Palayamkottai, Tirunelveli, Tamil Nadu 627011",627011,Tirunelveli,Tamil Nadu,Government Laboratory,"(8.703112365810048, 77.75975641078914, 0.0)",,
192,"Government Medical College, Thiruvarur","Government Medical College, Collector office Master Plan Complex, Collector Office Road, Thiruvarur, Tamil Nadu 610004",610004,Thiruvar,Tamil Nadu,Government Laboratory,"(10.775902199999999, 79.61118446666667, 0.0)",,
193,"Kumar Mangalam Government Medical College, Salem","Government Mohan Kumaramangalam Medical College, Steel Plant Road Sarkar Kollappatty, Salem, Tamil Nadu 636030",636030,Salem,Tamil Nadu,Government Laboratory,"(11.67273, 78.075529, 0.0)",,
194,"Coimbatore Medical College, Coimbatore","Coimbatore Medical College, 1 A, SF No 498, Avinashi Rd, Peelamedu, Civil Aerodrome Post, Coimbatore, Tamil Nadu 641018",641018,Coimbatore,Tamil Nadu,Government Laboratory,"(11.015527816561427, 76.98969536535814, 0.0)",,
195,"Government Villupuram Medical College, Villupuram","Government Villupuram Medical College, Mundiyampakkam, Villupuram, Tamil Nadu 605601",605601,Villupuram,Tamil Nadu,Government Laboratory,"(12.00055315, 79.5217694, 0.0)",,
196,"Madurai Medical College, Madurai","Medical College, Medical College Rd, Alwarpuram, Madurai, Tamil Nadu 625020",625020,Madurai,Tamil Nadu,Government Laboratory,"(9.933897, 78.14721527445981, 0.0)",,
197,"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P. Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001",620001,Trichy,Tamil Nadu,Government Laboratory,"(10.8075791, 78.7001708, 0.0)",,
198,"IRT Perundurai Medical College, Perundurai","IRT Perundurai Medical College, Perundurai -638053 Erode District TamilNadu, India",638053,Perundurai,Tamil Nadu,Government Laboratory,"(11.28083468013627, 77.56561377580994, 0.0)",,
199,"Government Dharmapuri Medical College, Dharmapuri","Government Dharmapuri Medical College, Nethaji byepass Road, Dharmapuri, Tamil Nadu, 636701 India",636701,Dharmapuri,Tamil Nadu,Government Laboratory,"(12.13444, 78.162956, 0.0)",,
200,"Government Vellore Medical College, Vellore","Government Vellore Medical College, Sapthalipuram, Pennathur, Adukkamparai, Tamil Nadu 632011",632011,Vellore,Tamil Nadu,Government Laboratory,"(12.8448073, 79.1370053, 0.0)",,
201,"State Public Health Laboratory, Chennai","State Public Health Laboratory, Chokkalingam Nagar, Teynampet, Chennai, Tamil Nadu 600086",600086,Chennai,Tamil Nadu,Government Laboratory,"(13.04838748592164, 80.25622492830442, 0.0)",,
202,"ICMR-National Institute of Epidemiology, Chennai","ICMR-National Institute of Epidemiology, Second Main Road, Tamil Nadu Housing Board, Ayapakkam, Near Ambattur, Chennai 600077, Tamil Nadu, India",600077,Chennai,Tamil Nadu,Government Laboratory,"(13.0707695, 80.1128806, 0.0)",,
203,"Kanyakumari Government Medical College, Nagercoil","Kanyakumari Government Medical College, Asaripallam, Nagercoil, Kanyakumari, Tamil Nadu, India-629201",629201,Nagercoil,Tamil Nadu,Government Laboratory,"(8.1154906, 77.3800332, 0.0)",,
204,"Christian Medical College, Vellore","Department of Clinical Virology, Christian Medical College, 9th Floor, ASHA Building, IDA Scudder Road, Christian Medical College, Vellore, Tamil Nadu, India Pin 632004",632004,Vellore,Tamil Nadu,Private Laboratory,"(12.96558, 80.2425099, 0.0)",,
205,"Apollo Hospitals Enterprise Limited, Chennai","Department of Laboratory Services, Apollo Hospitals Enterprise Limited, 21 Greams Lane, Off Greams Road, Chennai Tamil Nadu Pin 600006",600006,Chennai,Tamil Nadu,Private Laboratory,"(13.0584481, 80.2580691, 0.0)",,
206,"Neuberg Ehrlich Laboratory Pvt Ltd, Chennai","Neuberg Ehrlich Laboratory Pvt Ltd, 46 & 48, Masilamani Road, Balaji Nagar, Royapettah, Chennai - 600 014, Tamil Nadu",600014,Chennai,Tamil Nadu,Private Laboratory,"(13.05532570273119, 80.26474339418274, 0.0)",,
207,"Sri Ramachandra Laboratory Services, Chennai","No.1 Ramachandra Nagar, Porur, Chennai - 600116 Tamil Nadu, India",600116,Chennai,Tamil Nadu,Private Laboratory,"(13.0371, 80.169936, 0.0)",,
208,"Microbiological Laboratory, Coimbatore","Microbiological laboratory, no-02, kings colony, united nagar, veerakeralam road, vadavalli, Coimbatore, Tamil Nadu, Indi",641002,Coimbatore,Tamil Nadu,Private Laboratory,"(11.011080111948838, 76.9516064627728, 0.0)",,
209,"Y. R. Gaitonde Centre for AIDS Research and Education (YRG Care), Chennai","Division of Molecular Biology & Genotyping, YRG CARE Infectious Diseases Laboratory VHS Hospital Campus, Rajiv Gandhi Road, Tharamani, Chennai, Tamil Nadu 600113",600113,Chennai,Tamil Nadu,Private Laboratory,"(12.9880051, 80.2485773, 0.0)",,
210,"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P.Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001",620001,Trichy,Tamil Nadu,Private Laboratory,"(10.8075791, 78.7001708, 0.0)",,
211,"Madras Medical Mission Clinical Laboratory Services, Chennai","Madras Medical Mission Clinical, Laboratory Services, 4-A, Dr. J. Jayalalitha Nagar, Mogappair, Chennai-600037, India",600037,Chennai,Tamil Nadu,Private Laboratory,"(13.082596634959364, 80.17160428002444, 0.0)",,
212,"MIOT Hospitals – Department of Laboratory Medicine, Chennai","MIOT Hospitals – Department of Laboratory Medicine, No : 4/112, Mount Poonamallee Road, Manapakkam, Chennai-600089, Tamil Nadu",600089,Chennai,Tamil Nadu,Private Laboratory,"(13.02492679543454, 80.18223993668043, 0.0)",,
213,"PSG Hospitals Diagnostic Centre, Coimbatore","PSG Hospitals Diagnostic Centre, Avinashi Rd, Peelamedu, Coimbatore, Tamil Nadu 641004",641004,Coimbatore,Tamil Nadu,Private Laboratory,"(11.0268325, 77.0037378, 0.0)",,
214,"Gandhi Medical College, Secunderabad","Gandhi Medical College, Musheerabad, Padmarao Nagar, Secunderabad, Telangana 500003",500003,Secunderabad,Telangana,Government Laboratory,"(17.4231212, 78.5041971, 0.0)",,
215,"Osmania Medical College, Hyderabad","Osmania Medical College, 5-1-876, Turrebaz Khan Rd, Troop Bazaar, Koti, Hyderabad, Telangana 500095",500095,Hyderabad,Telangana,Government Laboratory,"(17.384925906002152, 78.48642338976853, 0.0)",,
216,"Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad","Sir Ronald Ross of Tropical & Communicable Diseases, (Fever Hospital), CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet, Hyderabad, Telangana 500016",500016,Hyderabad,Telangana,Government Laboratory,"(17.439663, 78.4507272, 0.0)",,
217,"Nizam's Institute Of Medical Sciences, Hyderabad","Punjagutta Rd, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082",500082,Hyderabad,Telangana,Government Laboratory,"(17.426505656585952, 78.45344053389898, 0.0)",,
218,"Institute of Preventive Medicine, Hyderabad","Institute of Preventive Medicine, Narayanaguda, Hyderabad, Telangana 500029",500029,Hyderabad,Telangana,Government Laboratory,"(17.402428697479507, 78.48371168543348, 0.0)",,
219,"CSIR - Centre for Cellular and Molecular Biology, Hyderabad","Centre for Cellular and Molecular Biology, Uppal Rd, IICT Colony, Habsiguda, Hyderabad, Telangana 500007",500007,Hyderabad,Telangana,Government Laboratory,"(17.4249832, 78.5358524, 0.0)",,
220,"Centre for DNA Fingerprinting and Diagnostics (CDFD), Hyderabad","Centre for DNA Fingerprinting and Diagnostics (CDFD), Inner Ring Road, Uppal, Hyderabad – 500039, Telangana, India",500039,Hyderabad,Telangana,Government Laboratory,"(17.4021294, 78.565855, 0.0)",,
221,"Laboratory Services Apollo Hospitals, Hyderabad","Laboratory Services Apollo Hospitals Hyderabad, 6th Floor Health street Building, Jubilee Hills, Hyderabad 500096",500096,Hyderabad,Telangana,Private Laboratory,"(45.6478885836395, 25.601584072216898, 0.0)",,
222,"Vijaya Diagnostic Centre Pvt. Ltd, Hyderabad","Vijaya Diagnostic Centre Pvt. Ltd, 3-6-16 & 17, Street No.19, opp. Lane to Tanishq, Chandra Nagar, Himayatnagar, Hyderabad, Telangana 500029",500029,Hyderabad,Telangana,Private Laboratory,"(17.402428697479507, 78.48371168543348, 0.0)",,
223,"Vimta Labs Ltd., Hyderabad","Vimta Labs Ltd., Plot No. 142, Phase 2, IDA Cherlapally, Hyderabad, Telangana, India 500051",500051,Hyderabad,Telangana,Private Laboratory,"(45.65686369130048, 25.58120010306407, 0.0)",,
224,"Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, Hyderabad","Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, NOS, 140/A, 140/B, 140/C, 141/A, 141/B, 141/C, Thokatta Village, Bowenpally, Secunderabad, Telangana, Hyderabad-500011",500011,Hyderabad,Telangana,Private Laboratory,"(48.31132705, 18.073211170535796, 0.0)",,
225,"Dr. Remedies labs Private Limited , Hyderabad","Dr. Remedies labs Private Limited , Titus Plaza, 1st Floor, Sharma Commercial Complex, Hyderabad, Telangana 500082",500082,Hyderabad,Telangana,Private Laboratory,"(17.426505656585952, 78.45344053389898, 0.0)",,
226,"PATHCARE Labs Pvt. Ltd., Hyderabad","PATHCARE Labs Pvt. Ltd., Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M), Greater Hyderabad, Telangana 501301",501301,Hyderabad,Telangana,Private Laboratory,"(47.81942935, 17.925532452708065, 0.0)",,
227,"AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad","AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Door No. 1-100/CCH, Second Floor, At Citizens Hospital, Nallagandla, Serilingampally, Hyderabad, Telangana 500019",500019,Hyderabad,Telangana,Private Laboratory,"(45.64214792430564, 25.59352350417566, 0.0)",,
228,"Medcis Pathlabs India Pvt.Ltd., Secunderabad","Medcis Pathlabs India Pvt.Ltd., Plot 16 & 17, Swathi Plaza, Bhavani Enclave, Anand Nagar, New Bowenpally, near Asish Gardens, Hyderabad, Telangana 500011",500011,Hyderabad,Telangana,Private Laboratory,"(48.31132705, 18.073211170535796, 0.0)",,
229,"The Department of Laboratory Medicine, Yashoda Hospital, Secunderabad","The Department of Laboratory Medicine, Yashoda Hospital, 9th Floor, 1-1-156 & 157, Alexander Road, S. P. Road, Secunderabad, Telangana 500003",500003,Secunderabad,Telangana,Private Laboratory,"(17.4231212, 78.5041971, 0.0)",,
230,"Biognosys Technologies (India) Private Limited, Hyderabad","Biognosys Technologies (India) Private Limited, # 8 - 148/174/11, NRI Colony, ALEAP Industrial Area, Medchal, Malkajgiri, Hyderabad, Telangana 500090, India",500090,Hyderabad,Telangana,Private Laboratory,"(45.65166989782275, 25.60626531692537, 0.0)",,
231,"Department of Laboratory Medicine, Star Hospitals, A Unit of UNIMED Healthcare Pvt Ltd, Hyderabad","Department of Laboratory Medicine, Star Hospitals, A Unit of UNIMED Healthcare Pvt Ltd. # 8-2-594/B, Road No. 10, Banjara Hills, Hyderabad- 500034, Telangana",500034,Hyderabad,Telangana,Private Laboratory,"(17.420143490085252, 78.44488980259615, 0.0)",,
232,"Tenet Diagnostics (A Unit of Center for Excellence in Medical Services Private Limited), Hyderabad","Tenet Diagnostics (A Unit of Center for Excellence in Medical Services Private Limited), Plot No 51, Kineta Towers, Journalist Colony, Road No 3, Banjara Hills, Hyderabad, Telangana 500034",500034,Hyderabad,Telangana,Private Laboratory,"(17.420143490085252, 78.44488980259615, 0.0)",,
233,"Government Medical College, Agartala","Government Medical College, 79 Tilla, Agartala, Tripura 799006",799006,Agartala,Tripura,Government Laboratory,"(23.862668908689333, 91.29043482311121, 0.0)",,
234,"King George's Medical University, Lucknow","King George's Medical University, Shah Mina Rd, Chowk, Lucknow, Uttar Pradesh 226003",226003,Lucknow,Uttar Pradesh,Government Laboratory,"(26.8595006, 80.8928805, 0.0)",,
235,"Institute of Medical Sciences, BHU, Varanasi","Institute of Medical Sciences, BHU, Aurobindo Colony, Banaras Hindu University Campus, Varanasi, Uttar Pradesh 221005",221005,Varanasi,Uttar Pradesh,Government Laboratory,"(34.27237411240824, 117.18438702824847, 0.0)",,
236,"Jawaharlal Nehru Medical College, Aligarh","Jawaharlal Nehru Medical College, Medical Rd, AMU Campus, Aligarh, Uttar Pradesh 202002",202002,Aligarh,Uttar Pradesh,Government Laboratory,"(27.903439342857144, 78.08331394285716, 0.0)",,
237,"Command Hospital, Lucknow","Command Hospital, Lucknow, Uttar Pradesh 226002",226002,Lucknow,Uttar Pradesh,Government Laboratory,"(26.8318676, 80.9663871, 0.0)",,
238,"Lala Lajpat Rai Memorial Medical College, Meerut","Lala Lajpat Rai Memorial Medical College, Garh Road, Jai Bhim Nagar, Meerut, Uttar Pradesh 250002",250002,Meerut,Uttar Pradesh,Government Laboratory,"(28.958198449999998, 77.6427034285511, 0.0)",,
239,"Sanjay Gandhi Post Graduate Institute, Lucknow","Sanjay Gandhi Post Graduate Institute, New PMSSY Rd, Raibareli Rd, Lucknow, Uttar Pradesh 226014",226014,Lucknow,Uttar Pradesh,Government Laboratory,"(26.750842912335976, 80.94347407495525, 0.0)",,
240,"Uttar Pradesh University of Medical Sciences, Saifai","Uttar Pradesh University of Medical Sciences, Off, Kurawali - Mainpuri - Etawah Rd, Saifai, Uttar Pradesh 206130",206130,Saifai,Uttar Pradesh,Government Laboratory,"(26.9571796, 78.963017, 0.0)",,
241,"ICMR- Regional Medical Research Centre, Gorakhpur","ICMR- Regional Medical Research Centre, Baba Raghav Das (BRD) Medical College Campus, Gorakhpur, Uttar Pradesh PIN-273013",273013,Gorakhpur,Uttar Pradesh,Government Laboratory,"(26.810906199999998, 83.395755025, 0.0)",,
242,"Maharani Laxmi Bai Medical College, Jhansi","Maharani Laxmi Bai Medical College, Jhansi - Kanpur Road, Jhansi, Uttar Pradesh 284001, India",284001,Jhansi,Uttar Pradesh,Government Laboratory,"(25.4467443, 78.56759, 0.0)",,
243,"Motilal Nehru Medical College, Prayagraj","Motilal Nehru Medical College, George Town, Prayagraj, Uttar Pradesh 211002, India",211002,Prayagraj,Uttar Pradesh,Government Laboratory,"(25.46358925, 81.86450498561419, 0.0)",,
244,"Dr. Ram Manohar Lohia Institute of Medical Sciences (DR.RMLIMS), Lucknow","Dr. Ram Manohar Lohia Institute of Medical Sciences (DR.RMLIMS), Vibhuti Khand, Gomtinagar, Lucknow-226010, Uttar Pradesh, India",226010,Lucknow,Uttar Pradesh,Government Laboratory,"(26.858771533118816, 80.9946476343659, 0.0)",,
245,"Sarojini Naidu Medical College, Agra","S.N. Medical College, Moti Katra, Agra - 282002 (U.P) India",282002,Agra,Uttar Pradesh,Government Laboratory,"(27.1940826, 77.9732309, 0.0)",,
246,"Government Institute of Medical Sciences (GIMS), Greater Noida","Government Institute of Medical Sciences (GIMS), Greater Noida, Gautam Buddha Nagar, U.P. - 201310, India",201310,Greater Noida,Uttar Pradesh,Government Laboratory,"(28.4825755, 77.4988062, 0.0)",,
247,"Ganesh Shanker Vidyarthi Memorial Medical College (GSVM Medical College), Kanpur","Ganesh Shanker Vidyarthi Memorial Medical College (GSVM Medical College), Swaroop Nagar, Kanpur 208002 ,Uttar Pradesh",208002,Kanpur,Uttar Pradesh,Government Laboratory,"(26.475748425, 80.31299477499998, 0.0)",,
248,"National Institute of Biologicals, Noida","National Institute of Biologicals, Plot No. A-32, Sector-62, Institutional Area, Noida -201309, Uttar Pradesh, India",201309,Noida,Uttar Pradesh,Government Laboratory,"(28.606367165114964, 77.38437282792202, 0.0)",,
249,"RML Mehrotra Pathology Pvt Ltd., Lucknow","RML Mehrotra Pathology Pvt Ltd., A-21/A, Nirala Nagar, Lucknow, Uttar Pradesh 226020",226020,Lucknow,Uttar Pradesh,Private Laboratory,"(26.887744825, 80.93251102500001, 0.0)",,
250,"Department of Laboratory Medicine, Jaypee Hospital, Noida","Department of Laboratory Medicine, Jaypee Hospital, Sector 128, Noida-201304",201304,Noida,Uttar Pradesh,Private Laboratory,"(28.524242133130333, 77.39058106007381, 0.0)",,
251,"Government Medical College, Haldwani","Government Medical College, Rampur Rd, Rampur, Haldwani, Uttarakhand 263129",263129,Haldwani,Uttarakhand,Government Laboratory,"(26.741, 78.7252, 0.0)",,
252,"All India Institute of Medical Sciences (AIIMS), Rishikesh","All India Institute of Medical Sciences (AIIMS), Virbhadra Road Shivaji Nagar, near Barrage, Sturida Colony, Rishikesh, Uttarakhand 249203",249203,Rishikesh,Uttarakhand,Government Laboratory,"(30.0669, 78.2631, 0.0)",,
253,"Dr. Ahuja’s Pathlogy and Imaging Centre-Department of Laboratory Medicine, Dehradun","Dr. Ahuja’s Pathlogy and Imaging Centre-Department of Laboratory Medicine, 7-B Astley Hall, Ugrasain Rd, Dehradun, Uttarakhand 248001",248001,Dehradun,Uttarakhand,Private Laboratory,"(30.341069949999998, 78.06106851016173, 0.0)",,
254,"ICMR-National Institute of Cholera & Enteric Diseases (NICED), Kolkata","ICMR-National Institute of Cholera & Enteric Diseases (NICED), P-33, C.I.T. Road, Scheme XM, Beleghata, Kolkata 700 010, India",700010,Kolkata,West Bengal,Government Laboratory,"(22.565181436756742, 88.39488349095954, 0.0)",,
255,"Institute of Post Graduate Medical Education and Research (IPGMER), Kolkata","Institute of Post Graduate Medical Education and Research (IPGMER), 244, Acharya Jagadish Chandra Bose Rd, Bhowanipore, Kolkata, West Bengal 700020",700020,Kolkata,West Bengal,Government Laboratory,"(22.537943916486686, 88.34845554090629, 0.0)",,
256,"Midnapore Medical College, Midnapore","Midnapore Medical College, Vidyasagar Road , Paschim Medinipur, Midnapore, West Bengal, 721 101",721101,Midnapore,West Bengal,Government Laboratory,"(34.64273463371951, 107.12681699069321, 0.0)",,
257,"North Bengal Medical College, Siliguri","North Bengal Medical College, Sushruta Nagar, Siliguri, West Bengal 734012",734012,Siliguri,West Bengal,Government Laboratory,"(38.56159451704642, 68.80000245778884, 0.0)",,
258,"School of Tropical Medicine, Kolkata","School of Tropical Medicine, 108, Chittaranjan Avenue, Kolkata - 700073, West Bengal",700073,Kolkata,West Bengal,Government Laboratory,"(22.574834267741842, 88.36035071506907, 0.0)",,
259,"Malda Medical College, Malda","Malda Medical College, Dipak Rd, 3 No. Govt Colony, Uma Roy Sarani, Malda, West Bengal 732101",732101,Malda,West Bengal,Government Laboratory,"(24.996739342857147, 88.1469014, 0.0)",,
260,"Command Hospital (Eastern Command), Kolkata","Command Hospital (Eastern Command), Alipore, Kolkata, Pin- 700027, West Bengal, India",700027,Kolkata,West Bengal,Government Laboratory,"(22.530436374604314, 88.32949600972691, 0.0)",,
261,"Apollo Gleneagles Hospitals, Kolkata","Apollo Gleneagles Hospitals, 58, Canal Circular Road, Kolkata, West Bengal 700054",700054,Kolkata,West Bengal,Private Laboratory,"(22.58027546928154, 88.3915118040509, 0.0)",,
262,"Tata Medical Center, Kolkata","Department of Laboratory Sciences, Tata Medical Center, 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160",700160,Kolkata,West Bengal,Private Laboratory,"(22.5640079014037, 88.49241701698938, 0.0)",,
263,"Laboratory Services, Peerless Hospitex Hospital & Research Center Limited, Kolkata","Laboratory Services, Peerless Hospitex Hospital & Research Center Limited, 360, Panchasayar, Kolkata, West Bengal 700094, India",700094,Kolkata,West Bengal,Private Laboratory,"(22.47665762118528, 88.39640959818394, 0.0)",,
264,"AMRI Hospitals, Department of Laboratory Medicine, Kolkata","AMRI Hospitals, Department of Laboratory Medicine, JC 16 & 17, Sector III, Salt Lake City, Kolkata, West Bengal -700098, India",700098,Kolkata,West Bengal,Private Laboratory,"(22.565958989021993, 88.41149701643334, 0.0)",,
265,"Suraksha Diagnostics Pvt. Ltd., Kolkata","Suraksha Diagnostics Pvt. Ltd., 12/1, Premises No. 02-0327, DG Block, Action Area 1D, Newtown, Kolkata, West Bengal 700156, India",700156,Kolkata,West Bengal,Private Laboratory,"(22.56779777850901, 88.48932220911288, 0.0)",,
266,"Dr. Lal PathLabs Ltd, Reference Laboratory, Kolkata","Dr. Lal PathLabs Ltd, Reference Laboratory, Plot No. CB-31/1, Premises No. 031-0199, Street No, 199 Action area IC, Newtown, Kolkata-700156, West Bengal",700156,Kolkata,West Bengal,Private Laboratory,"(22.56779777850901, 88.48932220911288, 0.0)",,
